,"Table S6 DEGs between Pol vs Fer, up-regulated and down-regulated",,,,,,
ID,sampleA,sampleB,log2FoldChange,pvalue,padj,Uniprot annotation,Regulation
TRINITY_DN9117_c0_g1_i1,Pol,Fer,8.609695443,2.28E-05,0.001178708,LAX3_MEDTR,up
TRINITY_DN7347_c0_g1_i2,Pol,Fer,8.607990712,5.95E-05,0.002442872,SAD2H_ARATH,up
TRINITY_DN15496_c0_g1_i7,Pol,Fer,8.585499249,1.34E-05,0.000806318,MYTM1_ARATH,up
TRINITY_DN261_c0_g1_i2,Pol,Fer,8.58478974,1.15E-05,0.000734854,FOSB_BACLD,up
TRINITY_DN747_c0_g1_i9,Pol,Fer,8.580021544,1.42E-05,0.000832711,SPPA1_ARATH,up
TRINITY_DN590_c0_g1_i9,Pol,Fer,8.578674553,1.51E-05,0.000867714,ARAE1_ORYSJ,up
TRINITY_DN12662_c0_g1_i7,Pol,Fer,8.577675268,4.49E-05,0.00199492,FH3_ORYSJ,up
TRINITY_DN3915_c0_g1_i9,Pol,Fer,8.574816964,1.29E-05,0.000793667,RGA3_SOLBU,up
TRINITY_DN3592_c0_g1_i7,Pol,Fer,8.570883918,1.05E-05,0.000679591,AIR9_ARATH,up
TRINITY_DN3203_c1_g1_i9,Pol,Fer,8.568221698,1.50E-05,0.000865737,KN7E_ORYSJ,up
TRINITY_DN3274_c0_g1_i9,Pol,Fer,8.565690472,9.65E-06,0.000641211,MCM7_ORYSI,up
TRINITY_DN5574_c0_g1_i25,Pol,Fer,8.564486953,1.21E-05,0.000760265,IP5P1_ARATH,up
TRINITY_DN1513_c0_g1_i15,Pol,Fer,8.554487301,9.34E-06,0.000628134,Y1765_ARATH,up
TRINITY_DN4630_c0_g1_i9,Pol,Fer,8.553007473,2.07E-05,0.001094116,IF2_RUMCH,up
TRINITY_DN4985_c0_g1_i7,Pol,Fer,8.550626771,5.82E-05,0.002399691,TBC15_MOUSE,up
TRINITY_DN3294_c0_g1_i15,Pol,Fer,8.54948816,9.38E-06,0.00062956,SRF3_ARATH,up
TRINITY_DN674_c0_g1_i3,Pol,Fer,8.545419809,1.15E-05,0.000734854,TF3B_MOUSE,up
TRINITY_DN7262_c0_g1_i3,Pol,Fer,8.544792888,9.66E-06,0.000641211,SETD3_PAPAN,up
TRINITY_DN11103_c0_g1_i3,Pol,Fer,8.53869025,7.40E-05,0.002863314,PME18_ARATH,up
TRINITY_DN4336_c0_g1_i1,Pol,Fer,8.533267739,1.21E-05,0.000758416,VSR1_PEA,up
TRINITY_DN1998_c0_g1_i1,Pol,Fer,8.530099689,1.40E-05,0.000831243,UBP26_ORYSJ,up
TRINITY_DN9167_c0_g1_i9,Pol,Fer,8.526402168,1.28E-05,0.000785041,PQQL_ARATH,up
TRINITY_DN7584_c0_g1_i4,Pol,Fer,8.521393531,1.14E-05,0.000729216,HSP7C_PETHY,up
TRINITY_DN3419_c0_g1_i5,Pol,Fer,8.516172323,1.54E-05,0.000877821,CRL5_ORYSJ,up
TRINITY_DN1298_c0_g1_i18,Pol,Fer,8.513176209,2.27E-05,0.001178708,SOQ1_ARATH,up
TRINITY_DN14055_c0_g1_i3,Pol,Fer,8.5111961,2.89E-05,0.001404959,DCUP1_ARATH,up
